-149.888006,61.18128,"Applebee's-Anchorage,AK","4331 Credit Union Dr, Anchorage,AK 99503, (907) 222-7753"
-149.7386657,61.20994,"Applebee's-Anchorage,AK","7611 Debarr Rd, Anchorage,AK 99504, (907) 332-7753"
-86.9410551,34.7834326,"Applebee's-Athens,AL","1331 Us Highway 72 W, Athens,AL 35611, (256) 233-4430"
-85.446315,32.625185,"Applebee's-Auburn,AL","1627 Opelika Rd, Auburn,AL 36830, (334) 887-7747"
-87.003719,33.364565,"Applebee's-Bessemer,AL","5050 Academy Ln, Bessemer,AL 35022, (205) 424-5255"
-86.876743,33.497538,"Applebee's-Birmingham,AL","2246 Bessemer Rd, Birmingham,AL 35208, (205) 451-1031"
-86.772556,33.4683149,"Applebee's-Birmingham,AL","579 Brookwood Village, Birmingham,AL 35209, (205) 879-5673"
-86.6863769,33.627953,"Applebee's-Center Point,AL","1600 Huffman Rd, Center Point,AL 35215, (205) 853-3200"
-87.02123,34.578899,"Applebee's-Decatur,AL","2041 Beltline Rd SW Ste A, Decatur,AL 35601, (256) 340-0114"
-85.431556,31.22416,"Applebee's-Dothan,AL","3050 Ross Clark Cir, Dothan,AL 36301, (334) 793-7800"
-87.6416712,34.8267503,"Applebee's-Florence,AL","2271 Florence Blvd, Florence,AL 35630, (256) 764-7644"
-87.682294,30.378868,"Applebee's-Foley,AL","2409 S Mckenzie St, Foley,AL 36535, (251) 943-6006"
-86.801458,33.610811,"Applebee's-Fultondale,AL","1250 Boots Blvd, Fultondale,AL 35043, (205) 380-8282"
-86.006094,33.981784,"Applebee's-Gadsden,AL","1722 Rainbow Dr, Gadsden,AL 35901, (256) 546-7774"
-86.2856839,34.3046149,"Applebee's-Guntersville,AL","11950 Us Highway 431, Guntersville,AL 35976, (256) 878-9903"
-86.819944,33.369231,"Applebee's-Hoover,AL","2933 John Hawkins Pkwy, Hoover,AL 35244, (205) 444-1102"
-86.5880869,34.7043413,"Applebee's-Huntsville,AL","3028 Memorial Pkwy SW, Huntsville,AL 35801, (256) 881-8111"
-86.5879592,34.7648908,"Applebee's-Huntsville,AL","3150 Memorial Pkwy NW, Huntsville,AL 35810, (256) 859-4200"
-86.742565,34.707141,"Applebee's-Madison,AL","302 Hughes Rd, Madison,AL 35758, (256) 772-3441"
-88.174689,30.675616,"Applebee's-Mobile,AL","4721 Airport Blvd, Mobile,AL 36608, (251) 343-4981"
-88.159386,30.616527,"Applebee's-Mobile,AL","4940 Government Blvd, Mobile,AL 36693, (251) 666-1760"
-86.263102,32.351954,"Applebee's-Montgomery,AL","3001 Carter Hill Rd, Montgomery,AL 36111, (334) 264-9064"
-86.1790075,32.3367622,"Applebee's-Montgomery,AL","3195 Taylor Rd, Montgomery,AL 36116, (334) 274-0009"
-86.181835,32.382979,"Applebee's-Montgomery,AL","6601 Atlanta Hwy, Montgomery,AL 36117, (334) 396-0500"
-87.5528339,33.2362509,"Applebee's-Northport,AL","62 Mcfarland Blvd, Northport,AL 35476, (205) 345-4505"
-85.8258441,33.6105844,"Applebee's-Oxford,AL","612 Hamric Dr E, Oxford,AL 36203, (256) 835-2434"
-85.6301007,31.433009,"Applebee's-Ozark,AL","1688 S Us Highway 231, Ozark,AL 36360, (334) 445-0098"
-86.7851239,33.3341559,"Applebee's-Pelham,AL","360 Cahaba Valley Rd, Pelham,AL 35124, (205) 982-1022"
-85.0224405,32.4631831,"Applebee's-Phenix City,AL","2090 280 Byp, Phenix City,AL 36867, (334) 448-2500"
-86.4146389,32.460621,"Applebee's-Prattville,AL","1917 Cobbs Ford Rd, Prattville,AL 36066, (334) 361-8899"
-86.6145593,33.640355,"Applebee's-Trussville,AL","4711 Norrel Dr, Trussville,AL 35173, (205) 661-0607"
-87.5258835,33.1925354,"Applebee's-Tuscaloosa,AL","1701 McFarland Blvd., Tuscaloosa,AL 35404, (205) 633-0900"
-92.580735,34.58044,"Applebee's-Benton,AR","17348 Interstate 30 N, Benton,AR 72019, (501) 778-4114"
-92.6654591,33.2325019,"Applebee's-El Dorado,AR","2133 N West Ave, El Dorado,AR 71730, (870) 881-9600"
-94.144068,36.125658,"Applebee's-Fayetteville,AR","4078 N College Ave, Fayetteville,AR 72703, (479) 442-8841"
-94.3575323,35.3556055,"Applebee's-Fort Smith,AR","6818 Rogers Ave, Fort Smith,AR 72903, (479) 452-4112"
-93.076579,34.451718,"Applebee's-Hot Springs,AR","4426 Central Avenue, Hot Springs,AR 71913, (501) 525-2774"
-92.408908,34.75003,"Applebee's-Little Rock,AR","12110 Chenal Pkwy, Little Rock,AR 72211, (501) 954-8444"
-92.3811631,34.6678009,"Applebee's-Little Rock,AR","6 Mabelvale Plaza Dr, Little Rock,AR 72209, (501) 565-3004"
-92.221191,34.79533,"Applebee's-N Little Rock,AR","4333 Warden Rd, N Little Rock,AR 72116, (501) 791-3300"
-94.181504,36.339231,"Applebee's-Rogers,AR","528 N 47th St, Rogers,AR 72756, (479) 936-8989"
-94.174212,36.1751112,"Applebee's-Springdale,AR","3953 W Sunset Ave, Springdale,AR 72762, (479) 751-9844"
-90.1833277,35.1674182,"Applebee's-West Memphis,AR","208 S Service Rd, West Memphis,AR 72301, (870) 735-4029"
-111.863591,33.305972,"Applebee's-Chandler,AZ","1245 W Chandler Blvd, Chandler,AZ 85224, (480) 917-3535"
-111.8582263,33.2649732,"Applebee's-Chandler,AZ","2805 S Alma School Rd, Chandler,AZ 85286, (480) 855-5528"
-111.788625,33.2802238,"Applebee's-Gilbert,AZ","3843 S Gilbert Rd, Gilbert,AZ 85297, (480) 722-0505"
-111.8077523,33.3354433,"Applebee's-Gilbert,AZ","830 W Warner Rd, Gilbert,AZ 85233, (480) 892-5250"
-112.185676,33.5819368,"Applebee's-Glendale,AZ","5880 W Peoria Ave, Glendale,AZ 85302, (623) 878-3500"
-112.259952,33.552127,"Applebee's-Glendale,AZ","9330 W Northern Ave, Glendale,AZ 85305, (623) 877-4885"
-112.356748,33.464493,"Applebee's-Goodyear,AZ","13832 W McDowell Road, Goodyear,AZ 85338, (623) 536-8440"
-111.6869732,33.3217726,"Applebee's-Higley,AZ","4712 E Ray Rd, Higley,AZ 85296, (480) 279-0824"
